Time,pair,open,high,low,close,volume,rsi_6,macd
2017-08-17 13:00:00,ETH/USDT,301.13,302.57,298.0,301.61,125.66877,,0.0
2017-08-17 14:00:00,ETH/USDT,301.61,303.28,300.0,303.1,377.67246,100.0,0.033429487179432726
2017-08-17 15:00:00,ETH/USDT,302.4,304.44,301.9,302.68,303.86672,74.72417251755206,0.029571627111238286
2017-08-17 16:00:00,ETH/USDT,302.68,307.96,302.6,307.96,754.7451,94.74846830325491,0.21772466017449688
2017-08-17 17:00:00,ETH/USDT,307.95,309.97,307.0,308.62,150.75029,95.30624864961503,0.3416434708062752
2017-08-17 18:00:00,ETH/USDT,308.62,312.0,308.62,310.0,469.27879,96.29391272223275,0.4687233279398697
2017-08-17 19:00:00,ETH/USDT,310.0,310.97,308.54,309.3,284.3914,85.36071012508128,0.5104361025625508
2017-08-17 20:00:00,ETH/USDT,308.3,310.68,307.78,308.95,273.2904,79.91648369932307,0.513552731271318
2017-08-17 21:00:00,ETH/USDT,308.95,310.51,307.98,308.62,401.79278,74.53773223967018,0.4915245129353707
2017-08-17 22:00:00,ETH/USDT,308.62,309.72,307.77,309.4,310.58042,78.61931521480572,0.5089244504653152
2017-08-17 23:00:00,ETH/USDT,307.77,308.71,305.49,306.5,710.25965,45.83731889387825,0.3598615166890795
2017-08-18 00:00:00,ETH/USDT,306.5,308.76,303.56,307.06,459.41982,50.60953929332369,0.27644153564881435
2017-08-18 01:00:00,ETH/USDT,307.74,312.18,298.21,308.0,596.81077,58.05398139248187,0.2640067875365162
2017-08-18 02:00:00,ETH/USDT,308.0,308.33,303.98,308.33,191.94856,60.55842176547916,0.27039585222541973
2017-08-18 03:00:00,ETH/USDT,308.33,311.53,298.96,309.1,203.6548,66.20773086743425,0.31745721489420475
2017-08-18 04:00:00,ETH/USDT,309.1,309.84,301.6,301.6,215.63779,24.758475355758975,-0.10569552858720499
2017-08-18 05:00:00,ETH/USDT,301.6,309.4,299.01,304.79,272.42251,42.97876624705766,-0.22968509105464818
2017-08-18 06:00:00,ETH/USDT,304.79,309.4,304.04,307.44,330.54526,54.066929958440596,-0.15473925161882107
2017-08-18 07:00:00,ETH/USDT,308.57,310.74,303.44,306.74,368.36785,50.92778602970717,-0.1401647043205685
2017-08-18 08:00:00,ETH/USDT,306.74,310.85,302.0,302.0,229.6062,34.60281301635648,-0.4362138391759913
2017-08-18 09:00:00,ETH/USDT,302.0,306.2,297.4,301.19,501.26558,32.46854744551749,-0.7133102717299948
2017-08-18 10:00:00,ETH/USDT,300.08,305.55,295.19,298.73,374.41661,26.509577522350895,-1.0843495806315104
2017-08-18 11:00:00,ETH/USDT,298.73,304.7,298.73,300.52,208.96849,36.660029083388885,-1.2376440121205405
2017-08-18 12:00:00,ETH/USDT,300.05,306.47,300.05,301.4,605.93251,41.432285626608454,-1.281598948925705
2017-08-18 13:00:00,ETH/USDT,301.4,302.95,298.41,301.8,444.33795,43.74420024396955,-1.2729082769544107
2017-08-18 14:00:00,ETH/USDT,301.8,305.92,300.0,304.7,525.33357,58.125112116311456,-1.047597647044313
2017-08-18 15:00:00,ETH/USDT,304.7,307.0,303.21,307.0,356.1222,66.31938190815157,-0.6967787291781065
2017-08-18 16:00:00,ETH/USDT,307.0,309.49,305.23,306.24,406.73244,61.54398761743221,-0.46945692832235864
2017-08-18 17:00:00,ETH/USDT,306.24,310.85,303.79,304.23,313.23742,50.095863184168294,-0.4315275418462079
2017-08-18 18:00:00,ETH/USDT,304.23,307.72,303.22,304.71,306.05941,52.62142017888267,-0.36204662747644534
2017-08-18 19:00:00,ETH/USDT,304.73,311.06,304.73,308.88,332.5643,68.98475718611023,0.0013970277327075564
2017-08-18 20:00:00,ETH/USDT,308.88,311.79,306.27,307.78,261.1517,62.18612976848972,0.2043842354665344
2017-08-18 21:00:00,ETH/USDT,307.78,310.29,305.73,308.47,388.17208,64.79756051763636,0.41177632410852993
2017-08-18 22:00:00,ETH/USDT,307.17,309.66,301.3,303.22,357.19041,39.739719830313604,0.1782487731944684
2017-08-18 23:00:00,ETH/USDT,303.22,303.22,296.32,298.52,398.64644,28.075944158450028,-0.35820403931057854
2017-08-19 00:00:00,ETH/USDT,298.52,300.99,297.32,298.8,214.98578,29.55407091348026,-0.7526480080200599
2017-08-19 01:00:00,ETH/USDT,298.8,301.11,295.64,299.21,403.96386,32.00931130554278,-1.0216229639428889
2017-08-19 02:00:00,ETH/USDT,297.5,299.21,293.18,295.53,359.12225,23.272888910747625,-1.4994403540978283
